stock_name,interval,start_date,end_date,small_win,long_win,profit
NVDA,1min,01-06-2024,1-07-2024,8.0,16.0,373.89149944212113
NVDA,5min,01-06-2024,1-07-2024,3.0,16.0,-682.2674656979325
NVDA,15min,01-06-2024,1-07-2024,8.0,16.0,469.27289767848015
NVDA,30min,01-06-2024,1-07-2024,3.0,16.0,926.8002961069305
MSFT,1min,01-06-2024,1-07-2024,3.0,8.0,-3700.390561267717
MSFT,5min,01-06-2024,1-07-2024,8.0,16.0,-1197.2696504421274
MSFT,15min,01-06-2024,1-07-2024,8.0,16.0,-575.8741713845266
MSFT,30min,01-06-2024,1-07-2024,3.0,8.0,159.7967515320106
NFLX,1min,01-06-2024,1-07-2024,3.0,8.0,-6775.213221127878
NFLX,5min,01-06-2024,1-07-2024,3.0,8.0,-2768.217362683882
NFLX,15min,01-06-2024,1-07-2024,8.0,16.0,-850.5072090569247
NFLX,30min,01-06-2024,1-07-2024,8.0,16.0,-353.43656563709555
GOOG,1min,01-06-2024,1-07-2024,3.0,8.0,-3809.0807413514403
GOOG,5min,01-06-2024,1-07-2024,3.0,16.0,-927.5398535480454
GOOG,15min,01-06-2024,1-07-2024,3.0,8.0,-132.04336583033
GOOG,30min,01-06-2024,1-07-2024,3.0,8.0,-518.2177470994229
AAPL,1min,01-06-2024,1-07-2024,3.0,16.0,-1581.8793493477424
AAPL,5min,01-06-2024,1-07-2024,3.0,16.0,-628.0558543637362
AAPL,15min,01-06-2024,1-07-2024,3.0,8.0,701.323097816572
AAPL,30min,01-06-2024,1-07-2024,8.0,16.0,407.33506627949646
